file,source,title,creator,creator_url,license,license_url,landing_url,url,query,width,height,bottles_detected,kept
14f49320e522.jpg,wikimedia-commons,File:Assorted gin bottles on a store shelf.jpg,Jon Worth,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Assorted_gin_bottles_on_a_store_shelf.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/33/Assorted_gin_bottles_on_a_store_shelf.jpg/1280px-Assorted_gin_bottles_on_a_store_shelf.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,857,11,yes
b4c060812858.jpg,wikimedia-commons,File:Attendant at a liquor store in Kenya.jpg,Lebu Ayiga,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Attendant_at_a_liquor_store_in_Kenya.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d5/Attendant_at_a_liquor_store_in_Kenya.jpg/1280px-Attendant_at_a_liquor_store_in_Kenya.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,1925,13,yes
a899944a9e83.jpg,wikimedia-commons,File:DFC 0603 Bottles of liquor lined up on a backlit bar shelf glowing in cool blue light.jpg,PattayaPatrol,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:DFC_0603_Bottles_of_liquor_lined_up_on_a_backlit_bar_shelf_glowing_in_cool_blue_light.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/0/0b/DFC_0603_Bottles_of_liquor_lined_up_on_a_backlit_bar_shelf_glowing_in_cool_blue_light.jpg/1280px-DFC_0603_Bottles_of_liquor_lined_up_on_a_backlit_bar_shelf_glowing_in_cool_blue_light.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,853,4,yes
931c5fe453c6.jpg,wikimedia-commons,File:Rum display in liquor store.jpg,User:O'Dea,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Rum_display_in_liquor_store.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/fe/Rum_display_in_liquor_store.jpg/1280px-Rum_display_in_liquor_store.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,liquor bottle shelf,1280,637,16,yes
b37557a83faf.jpg,openverse/flickr,Bar,Sam Howzit,https://www.flickr.com/photos/12508217@N08,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/12508217@N08/16235516979,https://live.staticflickr.com/7303/16235516979_01b6db9366_b.jpg,liquor bottle shelf,600,400,12,yes
064faa9f5dda.jpg,openverse/flickr,Wine,Tobyotter,https://www.flickr.com/photos/78428166@N00,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/78428166@N00/4433318139,https://live.staticflickr.com/4047/4433318139_69f48ef1e6_b.jpg,liquor bottle shelf,600,449,18,yes
cd121c6e9596.jpg,openverse/flickr,pharmacy at blists hill,apdk,https://www.flickr.com/photos/62337512@N00,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/62337512@N00/3669682422,https://live.staticflickr.com/3409/3669682422_1fc0fb6d40_b.jpg,liquor bottle shelf,600,400,17,yes
9c917a8dc17b.jpg,openverse/flickr,Cheap Wine,Joe Shlabotnik,https://www.flickr.com/photos/40646519@N00,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/40646519@N00/487029736,https://live.staticflickr.com/189/487029736_12ac177300_b.jpg,liquor bottle shelf,600,797,16,yes
a663c42087ac.jpg,openverse/flickr,Diet Coke,JeepersMedia,https://www.flickr.com/photos/39160147@N03,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/39160147@N03/14391469937,https://live.staticflickr.com/3854/14391469937_bed145b997_b.jpg,liquor bottle shelf,600,448,5,yes
9b98f69cf155.jpg,openverse/flickr,TESCO - English Bottled Beer Display,D H Wright,https://www.flickr.com/photos/59521130@N00,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,https://www.flickr.com/photos/59521130@N00/7132178933,https://live.staticflickr.com/7265/7132178933_9b1f1d6b42_b.jpg,liquor bottle shelf,600,492,3,yes
